#id: 474
#name: E.coli - Whole organism, EmPAI (Arike,J_Proteomics,2012)
#score: 4.35
#weight: 50%
#description: abundance based on MAPPED_BY_AUTHORS, emPAI, from<a href="http://www.mcponline.org/content/11/10/933.abstract" target="_blank">Arike, J_Proteomics,2012</a><br/><b>Interaction consistency score</b>: 4.35&nbsp<b>Coverage</b>: 98
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 98
#publication_year: 2012
#filename: Ecoli_emPAI_arike_2012.txt
#
internal_id	string_external_id	abundance
6883580	511145.b2947	213
6882707	511145.b1985	0
6882708	511145.b1987	0
6882709	511145.b1988	0
6881275	511145.b0432	164
6882985	511145.b2286	542
6883527	511145.b2889	0
6883526	511145.b2888	0
6882984	511145.b2285	145
6883521	511145.b2881	0
6883520	511145.b2880	0
6883523	511145.b2883	0
6884022	511145.b3434	0
6883525	511145.b2887	0
6883524	511145.b2886	0
6883220	511145.b2535	0
6884669	511145.b4147	419
6883452	511145.b2799	63.0
6883451	511145.b2798	0
6883219	511145.b2534	0
6883448	511145.b2795	35.6
6883447	511145.b2794	79.1
6883450	511145.b2797	0
6883449	511145.b2796	0
6883444	511145.b2791	0
6883443	511145.b2790	226
6883446	511145.b2793	0
6883445	511145.b2792	0
6882002	511145.b1219	1855
6882001	511145.b1218	48.8
6884834	511145.b4333	37.1
6884833	511145.b4332	0
6884836	511145.b4335	0
6884835	511145.b4334	0
6884838	511145.b4337	0
6884837	511145.b4336	0
6881994	511145.b1211	0
6881993	511145.b1210	0
6881996	511145.b1213	0
6881995	511145.b1212	0
6881998	511145.b1215	1724
6881997	511145.b1214	0
6882000	511145.b1217	145
6881999	511145.b1216	0
6881972	511145.b1189	96.2
6881971	511145.b1188	18.6
6884975	511145.b4558	0
6883471	511145.b2821	0
6881964	511145.b1181	0
6881963	511145.b1180	111
6881966	511145.b1183	0
6881965	511145.b1182	0
6881968	511145.b1185	0
6881967	511145.b1184	0
6881970	511145.b1187	96.7
6881969	511145.b1186	0
6881655	511145.b0854	1129
6881656	511145.b0855	44.4
6881657	511145.b0856	0
6881658	511145.b0857	0
6881651	511145.b0850	0
6881652	511145.b0851	44.0
6881653	511145.b0852	0
6881654	511145.b0853	0
6882033	511145.b1255	0
6881659	511145.b0858	0
6881660	511145.b0859	0
6882594	511145.b1853	37.6
6882593	511145.b1852	477
6883233	511145.b2548	0
6882591	511145.b1850	1025
6882598	511145.b1857	0
6882597	511145.b1856	0
6882422	511145.b1679	0
6882421	511145.b1678	70.3
6882420	511145.b1677	1147
6882419	511145.b1676	2752
6882600	511145.b1859	0
6882417	511145.b1674	0
6882416	511145.b1673	0
6882415	511145.b1672	0
6882414	511145.b1671	0
6882413	511145.b1670	0
6882218	511145.b1457	0
6882101	511145.b1324	1373
6882217	511145.b1455	0
6882216	511145.b1454	0
6882215	511145.b1453	0
6882214	511145.b1452	240
6882100	511145.b1323	55.7
6880986	511145.b0109	202
6884935	511145.b4487	0
6880984	511145.b0107	0
6880982	511145.b0104	128
6884933	511145.b4484	0
6884932	511145.b4483	0
6884931	511145.b4482	0
6884930	511145.b4481	0
6884929	511145.b4480	0
6882438	511145.b1695	0
6882437	511145.b1694	0
6882440	511145.b1697	0
