#Table S10- Log2 ratio (Gal versus Glu) of all genes on the b-FLEX at 20generations of growth.		
Probe ID	Log2 Ratio (20Gen)	gene
YER047C::BFLEX	-0.696	SAP1
YJR060W::BFLEX	-0.695	CBF1
YDR499W::BFLEX	-0.695	LCD1
YHR159W::BFLEX	-0.695	YHR159W
YPR193C::BFLEX	-0.694	HPA2
YIL038C::BFLEX	-0.694	NOT3
YJL206C::BFLEX	-0.694	YJL206C
YCL056C::BFLEX	-0.693	YCL056C
YLR243W::BFLEX	-0.693	YLR243W
YDR153C::BFLEX	-0.691	ENT5
YBR058C::BFLEX	-0.691	UBP14
YLR151C::BFLEX	-0.689	PCD1
YDR444W::BFLEX	-0.688	YDR444W
YHR102W::BFLEX	-0.687	KIC1
YOL121C::BFLEX	-0.687	RPS19A
YNL157W::BFLEX	-0.686	IGO1
YEL052W::BFLEX	-0.684	AFG1
YDR282C::BFLEX	-0.683	YDR282C
YOL157C::BFLEX	-0.681	IMA2
YDR291W::BFLEX	-0.68	HRQ1
YER069W::BFLEX	-0.679	ARG5,6
YLR309C::BFLEX	-0.679	IMH1
YJL173C::BFLEX	-0.677	RFA3
YBL013W::BFLEX	-0.676	FMT1
YGL134W::BFLEX	-0.676	PCL10
YLR045C::BFLEX	-0.676	STU2
YKL188C::BFLEX	-0.675	PXA2
YMR293C::BFLEX	-0.673	YMR293C
YDR085C::BFLEX	-0.672	AFR1
YNR023W::BFLEX	-0.672	SNF12
YJL053W::BFLEX	-0.671	PEP8
YGL107C::BFLEX	-0.671	RMD9
YIL125W::BFLEX	-0.67	KGD1
YLR092W::BFLEX	-0.668	SUL2
YLL058W::BFLEX	-0.665	YLL058W
YBR195C::BFLEX	-0.662	MSI1
YOR264W::BFLEX	-0.661	DSE3
YHR216W::BFLEX	-0.66	IMD2
YML046W::BFLEX	-0.66	PRP39
YCR042C::BFLEX	-0.658	TAF2
YPR076W::BFLEX	-0.658	YPR076W
YMR193W::BFLEX	-0.657	MRPL24
YIR025W::BFLEX	-0.656	MND2
YKL050C::BFLEX	-0.656	YKL050C
YDR471W::BFLEX	-0.655	RPL27B
YDL239C::BFLEX	-0.654	ADY3
YFL022C::BFLEX	-0.654	FRS2
YER054C::BFLEX	-0.654	GIP2
YDR191W::BFLEX	-0.654	HST4
YGL233W::BFLEX	-0.654	SEC15
YPR055W::BFLEX	-0.654	SEC8
YKL103C::BFLEX	-0.653	LAP4
YFL059W::BFLEX	-0.652	SNZ3
YNR062C::BFLEX	-0.652	YNR062C
