#id: 358
#name: S.cerevisiae - Whole organism, Immunodetection of tagged proteins, normalized data (Ghaemmaghami,Nature,2003)
#score: 4.71
#weight: 80%
#description: abundance based on normalized data, immunodetection of tagged proteins, from<a href="http://www.ncbi.nlm.nih.gov/pubmed/14562106" target="_blank">Ghaemmaghami,Nature,2003</a><br/><b>Interaction consistency score</b>: 4.71&nbsp<b>Coverage</b>: 58
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 58
#publication_year: 2003
#filename: Ghaemmaghami_et_al_yeast_data.txt
#
internal_id	string_external_id	abundance
632760	4932.YKR071C	23.3
631002	4932.YGL112C	144
634766	4932.YOR233W	3.17
635288	4932.YPR049C	1.9
631436	4932.YGR257C	12.0
629185	4932.YBR127C	2897
635183	4932.YPL235W	67.3
629570	4932.YDL008W	8.37
634567	4932.YOR047C	5.28
631460	4932.YGR280C	85.5
631415	4932.YGR237C	23.4
629729	4932.YDL159W	14.9
632297	4932.YJR014W	478
631082	4932.YGL190C	191
629164	4932.YBR110W	41.9
629977	4932.YDR144C	12.0
633484	4932.YML091C	25.6
634958	4932.YPL018W	27.8
630906	4932.YGL018C	44.6
633616	4932.YMR075W	10.8
631379	4932.YGR202C	67.7
632580	4932.YKL120W	119
632324	4932.YJR041C	36.9
630239	4932.YDR379W	5.63
633287	4932.YLR381W	7.09
630827	4932.YFR008W	10.8
631737	4932.YHR169W	77.6
633848	4932.YMR286W	26.6
629747	4932.YDL175C	39.9
632597	4932.YKL137W	5.75
630309	4932.YDR447C	678
628866	4932.YAL061W	68.5
631355	4932.YGR178C	63.7
633958	4932.YNL059C	48.1
633918	4932.YNL022C	20.5
632291	4932.YJR009C	2677
630625	4932.YER092W	50.6
632109	4932.YJL063C	67.2
